"YEAR","Atmosphere"
1900,-5
1901,-5.3
1902,-5.6
1903,-5.9
1904,-6.2
1905,-6.5
1906,-6.8
1907,-7.1
1908,-7.4
1909,-7.7
1910,-8
1911,-8.3
1912,-8.6
1913,-8.9
1914,-9.2
1915,-9.5
1916,-9.8
1917,-10.1
1918,-10.4
1919,-10.7
1920,-11
1921,-11.47
1922,-11.94
1923,-12.41
1924,-12.88
1925,-13.35
1926,-13.82
1927,-14.29
1928,-14.76
1929,-15.23
1930,-15.7
1931,-16.17
1932,-16.64
1933,-17.11
1934,-17.58
1935,-18.05
1936,-18.52
1937,-18.99
1938,-19.46
1939,-19.93
1940,-20.4
1941,-20.87
1942,-21.34
1943,-21.81
1944,-22.28
1945,-22.75
1946,-23.22
1947,-23.69
1948,-24.16
1949,-24.63
1950,-14.2
1951,-43.7
1952,-13.7
1953,-25.3
1954,-6.7
1955,16.6
1956,69.5
1957,88.7
1958,252
1959,256.5
1960,226.25
1961,232.25
1962,388.63
1963,823
1964,899.75
1965,779.5
1966,714.5
1967,637.13
1968,568.66
1969,547.5
1970,529.1
1971,499.4
1972,465.6
1973,418.6
1974,400.8
1975,369.8
1976,352.5
1977,333.9
1978,325.8
1979,295.8
1980,264.5
1981,256.7
1982,238.3
1983,224.2
1984,209.3
1985,201.3
1986,191.1
1987,182.6
1988,173.4
1989,163.5
1990,152.5
1991,142.9
1992,136.4
1993,128.4
1994,122.1
1995,115.24
1996,109.61
1997,102.8
1998,102.08
1999,95.91
2000,89.94
2001,82.34
2002,78.69
2003,70.86
2004,67
2005,60.8
2006,55
2007,49.8
2008,44.3
2009,38.8
2010,33.3
